面白くて眠れなくなる数学,池田,,済,1
超面白くて眠れなくなる数学,池田,,済,1
弱者の戦略,池田,,済,2
絶滅の人類史,池田,,途中,4
戦神,池田,,途中,3
GrageBandパーフェクトレッスン,西南,,済,5
夢中になる東大世界史,箕面,,途中,4
Pythonスクレイピング＆クローリング,箕面,未,,
譜面が読めなくてもできるフィンガードラム入門,箕面,,済,1
全世界史講義1,西南,未,,
10大民族で読み解く世界史の興亡,池田,,中止,1
松田聖子と中森明菜,池田,,中止,1
スター・ウォーズ学,池田,,中止,1
動乱の室町時代と15人の足利将軍,西南,未,,
六人の嘘つきな大学生,桜丘,2023/05/18,2023/05/19,5
カラスの親指,桜丘,2023/05/20,2023/05/23,3
神のロジック人間（ひと）のマジック,池田,2023/05/24,2023/05/27,4
歴史のミカタ,池田,2023/05/23,2023/05/31,2
連続テレビ小説読本Vol.1,池田,2023/05/28,2023/05/28,2
ゲームチェンジの世界史,西南,2023/05/31,2023/05/31,2
リバース,箕面,2023/05/29,2023/05/31,3
そして扉が閉ざされた,箕面,2023/05/27,2023/05/29,4
スタンダード・ジャズ ハンドブック,箕面,2023/05/27,2023/05/27,4
MASTER OF Logic Pro X,箕面,2023/05/27,中止,5
仮面山荘の殺人,Book-Off,2023/05/31,2023/06/01,5
わかる！使える！色彩の教科書,池田,2023/06/05,2023/06/05,2
medium 霊媒探偵城塚翡翠,池田,2023/06/02,中止,1
日本史のミカタ,池田,2023/06/02,中止,1
世界史のミカタ,桜丘,2023/06/04,2023/06/06,1
アメリカン・ポップス名曲全集,桜丘,2023/06/03,2023/06/03,4
ジェリーフィッシュは凍らない,西南,2023/06/14,2023/06/17,4
民主党政権,西南,2023/06/18,中止,1
笑い神Ｍ−１、その純情と狂気,石橋,2023/06/20,2023/06/21,3
幹事長秘録,石橋,2023/06/22,2023/06/26,2
秀吉の活,石橋,2023/06/26,中止,1
「悪」の進化論,石橋,2023/06/21,途中,3
一冊でわかるフランス史,西南,2023/07/09,途中,3
一冊でわかる中国史,西南,2023/07/06,2023/07/09,3
「棲み分け」の世界史,池田,2023/06/30,途中,3
たった一度の人生を記録しなさい,池田,2023/07/11,2023/07/11,2
NHKスペシャル人類誕生,石橋,2023/07/12,2023/07/15,3
一冊でわかるドイツ史,石橋,2023/06/26,2023/07/16,3
戦争と外交の世界史,池田,2023/07/05,2023/07/31,4
「民族」で読み解く世界史,箕面,2023/08/02,2023/08/02,3
「全世界史」講義Ⅰ古代・中世編,西南,2023/08/08,,4
池上彰と現代の名著を読む,西南,2023/09/10,中止,2
アマテラスの暗号,池田,2023/09/19,2023/09/20,3
戦国名臣列伝,池田,未,,
巨大倒産 ―「絶対潰れない会社」を潰した社長たち,池田,未,,
戦争まで 歴史を決めた交渉と日本の失敗,池田,2023/09/19,途中,
多数決を疑う――社会的選択理論とは何か,池田,2023/09/21,2023/09/21,3
知識ゼロからの近代絵画入門,池田,2023/10/03,2023/10/10,2
世界一やばい西洋絵画の見方入門,池田,2023/10/03,2023/10/10,2
教養としての地政学,西南,2023/09/25,2023/10/04,3
人口で語る世界史,西南,2023/10/05,中止,2
「司馬遼太郎」で学ぶ日本史,西南,2023/10/09,2023/10/11,4
楚漢名臣列伝,池田,未,,
スケープゴート,池田,2023/10/11,2023/10/14,3
大暴落ガラ,池田,未,,
知略の本質 戦史に学ぶ逆転と勝利,石橋,2023/10/20,中止,4
この国のかたち,石橋,2023/10/20,途中,3
歴史のじかん,箕面,2023/11/18,中止,2
世界「民族」全史,箕面,2023/11/18,途中,4
ポール・マッカートニー作曲術,桜ヶ丘,2023/11/18,2023/12/06,3
駅からウォーキング関西（2019年版）,池田,2023/11/27,2023/12/01,3
この1冊、ここまで読むか! 超深掘り読書のススメ,池田,2023/12/16,中止,2
Python最速データ収集術,池田,2023/12/03,2023/12/17,3
一気に読める史記,池田,2023/12/16,中止,4
それでも、日本人は「戦争」を選んだ,石橋,未,,
NETFLIX,石橋,2023/12/18,2024/01/08,4
人気&定番ジャズスタンダード,野畑,2023/12/22,2023/12/22,4
シェル・ワンライナー160本ノック,野畑,2023/12/22,中止,3
MIDI打ち込みでバンド・アンサンブルを作る本,野畑,2023/12/22,2023/12/29,4
フォーク酒場で歌いたい俺の定番・名曲集,野畑,2024/01/13,2024/01/13,2
教養としてのローマ史の読み方,野畑,2024/01/05,途中,4
日本人のための英仏独三国志,石橋,2024/01/08,中止,2
民族と国家の5000年史,野畑,2024/01/13,2024/01/13,2
ちょっと嬉しい伴奏が弾きたい,野畑,未,,
今日からできる! Python業務効率化スキルが身につく本,蛍池,2024/01/19,中止,2
教養としてのローマ史の読み方,蛍池,2024/01/21,途中,4
Logic Pro Xで始めるDTM&曲作り,箕面,2024/01/27,2024/02/09,3
ネット興亡記,石橋,2024/02/05,,
十字軍物語1,石橋,2024/01/29,2024/02/04,5
十字軍物語2,石橋,2024/02/06,2024/02/15,4
十字軍物語3,石橋,2024/02/16,2024/03/13,4
GarageBandではじめる ループ音源で遊ぶ・楽しむ超入門,石橋,2024/02/23,,3
六人の嘘つきな大学生,Audible,2024/02/28,2024/03/04,5
方舟,Audible,2024/03/06,中止,1
サピエンス全史（上）,Audible,2024/03/07,2024/03/13,3
ローマ亡き後の地中海世界(上),石橋,2024/03/13,途中,4
コンビニ人間,Audible,2024/03/14,2024/03/15,2
可燃物,Audible,2024/03/16,2024/03/19,4
極楽征夷大将軍,Audible,2024/03/19,2024/04/02,5
満願,Audible,2024/04/04,2024/04/08,4
面白くて眠れなくなる植物学,Audible,2024/04/08,2024/04/15,3
世界を変えた10冊の本,Audible,2024/04/15,2024/04/18,4
つくって覚えるPerl入門,石橋,2024/04/08,中止,1
地図で読み解く阪急沿線,石橋,2024/04/17,2024/04/17,3
世界でもっとも強力な9のアルゴリズム,石橋,2024/04/17,途中,4
1週間でJavaScriptの基礎が学べる本,石橋,2024/04/17,2024/04/17,3
オブジェクト指向でなぜつくるのか,石橋,2024/04/17,2024/04/17,3
物理の4大定数 宇宙を支配するc、G、e、h,Audible,2024/04/18,2024/04/23,5
座右の寓話,Audible,2024/04/23,途中,
知略を養う戦争と外交の世界史,Audible,2024/04/24,2024/04/27,4
池上彰の世界の見方　フランス：うるわしの国の栄光と苦悩,Audible,2024/04/27,2024/04/29,3
日本国紀（上）,Audible,2024/04/29,2024/05/04,4
日本国紀（下）,Audible,2024/05/05,2024/05/08,4
アームストロング砲,Audible,2024/05/08,2024/05/09,3
ヨーロッパ史入門 原形から近代への胎動,Audible,2024/05/10,中止,1
池上彰の行動経済学入門,Audible,2024/05/10,2024/05/10,3
桜田門外の変,Audible,2024/05/11,2024/05/11,3
逃げの小五郎,Audible,2024/05/11,2024/05/11,2
きつね馬,Audible,2024/05/12,2024/05/12,2
ローマ亡き後の地中海世界(上),石橋,2024/04/26,2024/05/12,3
ローマ亡き後の地中海世界(下),石橋,2024/05/13,,
王城の護衛者,Audible,2024/05/12,2024/05/15,3
